Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5262638794,pc4210 (1/3),0,215.36,DST Patriots  FLEX Aaron Jones Sr. QB Dak Prescott RB Christian McCaffrey RB Derrick Henry TE Dalton Schultz WR CeeDee Lamb WR Stefon Diggs WR Rashod Bateman,,Bijan Robinson,RB,68.22%,11.1
1,5262639051,pc4210 (2/3),0,215.36,DST Patriots  FLEX Aaron Jones Sr. QB Dak Prescott RB Christian McCaffrey RB Derrick Henry TE Dalton Schultz WR CeeDee Lamb WR Stefon Diggs WR Rashod Bateman,,Dalton Schultz,TE,60.24%,29
1,5262639094,pc4210 (3/3),0,215.36,DST Patriots  FLEX Aaron Jones Sr. QB Dak Prescott RB Christian McCaffrey RB Derrick Henry TE Dalton Schultz WR CeeDee Lamb WR Stefon Diggs WR Rashod Bateman,,Derrick Henry,RB,39.44%,17.7
4,5262930826,Cowboysfgs (1/2),0,209.28001,DST Panthers  FLEX Jalen Coker QB Brock Purdy RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Ja'Marr Chase WR CeeDee Lamb WR Rashod Bateman,,Dak Prescott,QB,36.16%,29.76
5,5262051801,BDunne26,0,208.85999,DST Panthers  FLEX Devaughn Vele QB Dak Prescott RB Derrick Henry RB Aaron Jones Sr. TE Dalton Schultz WR Ja'Marr Chase WR CeeDee Lamb WR Garrett Wilson,,Garrett Wilson,WR,34.85%,16.7
6,5263331085,do2c,0,200.86002,DST Panthers  FLEX Dalton Schultz QB Dak Prescott RB Bijan Robinson RB Quinshon Judkins TE Trey McBride WR Jaxon Smith-Njigba WR Matthew Golden WR Rashod Bateman,,Matthew Golden,WR,34.29%,9.8
7,5262090236,g4est26,0,199.68001,DST Jaguars  FLEX Chuba Hubbard QB Brock Purdy RB Derrick Henry RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Matthew Golden,,CeeDee Lamb,WR,32.71%,38.3
8,5257207613,jugs127 (1/20),0,199.18001,DST Patriots  FLEX Michael Mayer QB Brock Purdy RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Terry McLaurin,,Aaron Jones Sr.,RB,30.92%,13.5
8,5257207614,jugs127 (2/20),0,199.18001,DST Patriots  FLEX Michael Mayer QB Brock Purdy RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Terry McLaurin,,DK Metcalf,WR,29.91%,6.7
8,5257207615,jugs127 (3/20),0,199.18001,DST Patriots  FLEX Michael Mayer QB Brock Purdy RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Terry McLaurin,,Javonte Williams,FLEX,29.43%,8
8,5257207616,jugs127 (4/20),0,199.18001,DST Patriots  FLEX Michael Mayer QB Brock Purdy RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Terry McLaurin,,Panthers ,DST,18.83%,26
8,5257207617,jugs127 (5/20),0,199.18001,DST Patriots  FLEX Michael Mayer QB Brock Purdy RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Terry McLaurin,,Brock Purdy,QB,17.92%,28.48
8,5257207618,jugs127 (6/20),0,199.18001,DST Patriots  FLEX Michael Mayer QB Brock Purdy RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Terry McLaurin,,George Pickens,WR,17.83%,10
8,5257207619,jugs127 (7/20),0,199.18001,DST Patriots  FLEX Michael Mayer QB Brock Purdy RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Terry McLaurin,,Buccaneers ,DST,16.27%,2
8,5257207620,jugs127 (8/20),0,199.18001,DST Patriots  FLEX Michael Mayer QB Brock Purdy RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Terry McLaurin,,Terry McLaurin,WR,15.18%,7
8,5257207621,jugs127 (9/20),0,199.18001,DST Patriots  FLEX Michael Mayer QB Brock Purdy RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Terry McLaurin,,Christian McCaffrey,RB,11.33%,22.6
