Name,Team,Pos,Opp,Salary,SS Proj,Own,Adj Own,p25,p50,p75,p85,p95,p99,Status
Jahmyr Gibbs,DET,RB,vs NYJ,8800,25.99,29.96,31.50,17.5,24.6,33.2,37.8,46.2,56.9,
Josh Allen,BUF,QB,vs LAC,8000,25.50,10.39,10.04,18.8,24.7,31.3,35.1,42.4,51.3,
Kenneth Walker III,KC,RB,at MIA,7400,21.51,30.38,32.64,14.2,20.4,27.4,31.8,39.7,48.6,
Christian McCaffrey,SF,RB,vs ARI,8300,21.52,17.76,18.68,14.0,20.2,27.4,31.9,39.9,50.5,
Brock Purdy,SF,QB,vs ARI,6500,21.35,5.33,5.34,15.1,20.4,26.8,30.5,36.7,43.5,
Lamar Jackson,BAL,QB,at DAL,7500,23.24,8.74,8.50,17.1,22.4,28.7,32.0,38.2,45.1,
Derrick Henry,BAL,RB,at DAL,7700,19.22,12.56,13.18,11.8,18.0,25.4,29.5,36.7,45.5,
Patrick Mahomes,KC,QB,at MIA,6200,20.78,10.31,10.12,15.1,20.0,25.7,29.1,34.8,41.3,
Jaxon Smith-Njigba,SEA,WR,at WAS,8600,20.47,11.17,11.89,12.4,19.7,27.5,31.3,38.3,47.8,
Dak Prescott,DAL,QB,vs BAL,6700,20.19,4.25,4.25,14.3,19.3,25.2,28.6,34.4,41.8,
Jonathan Taylor,IND,RB,vs HOU,7600,19.85,18.18,19.43,12.6,18.6,25.7,30.0,37.4,46.6,
Amon-Ra St. Brown,DET,WR,vs NYJ,7900,19.65,18.20,20.37,12.0,18.1,26.4,30.7,38.5,47.0,
Jared Goff,DET,QB,vs NYJ,6300,19.53,6.64,6.67,13.6,18.6,24.3,27.8,33.6,39.9,
Tyler Shough,NO,QB,vs LV,5400,19.24,13.22,13.28,13.7,18.6,24.2,27.5,33.1,39.6,
Trevor Lawrence,JAX,QB,vs NE,5700,18.85,5.78,5.82,13.1,17.9,23.7,27.1,33.4,40.1,
Drake Maye,NE,QB,at JAX,6100,18.32,2.20,2.19,12.9,17.4,22.9,26.2,31.9,39.7,
CeeDee Lamb,DAL,WR,vs BAL,7800,19.73,20.17,22.94,11.9,18.1,26.5,30.9,38.6,48.0,
Joe Burrow,CIN,QB,at PIT,6600,18.02,1.11,1.08,12.4,17.3,22.8,26.2,31.9,38.3,
